sender,nominal_interval_s,p_g2b_full,r_b2g_full,pi_bad_full,eps_good_full,eps_bad_full,loglik_full,mean_bad_run_pkts_full,mean_good_run_pkts_full,p_g2b_steady_fl,r_b2g_steady_fl,pi_bad_steady_fl,eps_good_steady_fl,eps_bad_steady_fl,loglik_steady_fl,mean_bad_run_pkts_steady_fl,mean_good_run_pkts_steady_fl,p_g2b_steady_rp,r_b2g_steady_rp,pi_bad_steady_rp,eps_good_steady_rp,eps_bad_steady_rp,loglik_steady_rp,mean_bad_run_pkts_steady_rp,mean_good_run_pkts_steady_rp
214,0.09999999999999432,0.0019300051254166491,0.004306461260104339,0.3094709417335244,0.06190536871467086,0.9907442730718794,-166.3099745759198,232.20921763865385,518.1333390418433,0.0037902224311988798,0.005004613643559526,0.4309599859486861,0.06544054040354796,0.9957948808744358,-163.82487599661795,199.81562438629152,263.836758436283,0.0019380441223792522,0.0025803068277563106,0.42892731081925045,0.05403730557906172,0.999999,-123.13691150446606,387.55080955606496,515.9841246402293
22,0.09999999999999432,0.0025812008188815542,0.007385589654274647,0.25898014268821695,0.011480475871634942,0.981218050755576,-163.13653259795393,135.3988031844171,387.41658250104865,0.0026480588187286287,0.008663572553213239,0.23410052287392005,0.010803107953454311,0.9763832710653453,-161.23251315819078,115.42582391476704,377.63511630761826,0.0009357253843870079,0.0198372968676855,0.0450452212986799,0.0007776270114380979,0.29676487263473855,-53.90352373890691,50.410094009783,1068.6896141597124
220,0.09999999999999432,0.002040048186111364,0.004548578067747398,0.3096317969040312,0.024331235444962608,0.9858043211762717,-112.11548902505916,219.8489253357439,490.1844999583804,0.0038972231452782673,0.005348070835878649,0.42153588119764535,0.03764847462875337,0.999999,-110.70102339570121,186.9833124294636,256.592954193953,1e-06,0.03624699635895882,2.7587731749284578e-05,0.006250555966927025,0.2533716191568785,-36.019154082492264,27.588492853224782,1000000.0
226,0.09999999999999432,0.002150076794918138,0.004707474047259156,0.3135342113242695,0.029744604632003065,0.9952362565585484,-99.94839771266021,212.4281493558594,465.09966637636956,0.004285833699286948,0.005503223970783119,0.4378188221723156,0.029597609842393548,0.9973233151462602,-99.66743204239238,181.7116667082874,233.3268321088553,0.002195837403789761,0.005347856281993995,0.2910825247223202,0.01550232467919228,0.9957901693151154,-68.54635778270693,186.9908141262056,455.4071254429475
232,0.09999999999999432,0.0022440724389534133,0.004500261104129288,0.332734498467241,0.06732228156468549,0.9919134866485264,-152.95327694974353,222.20932893925504,445.6184134886387,0.004189713085835902,0.005001018322156926,0.4558628578996737,0.07181142860391693,0.9967451664958102,-150.33643290707468,199.9592754078739,238.6798283110804,0.002249904052768297,0.002648143783576143,0.45934709662767764,0.06051940669979574,0.999999,-115.92141867110426,377.6230000055231,444.46339779227173
238,0.09999999999999432,0.022636980864890723,0.019476812152024705,0.5375194026289286,0.28572000059779706,0.99623654949156,-305.00361887491914,51.34310441537248,44.175502288424426,0.02365350629835715,0.021232956639287093,0.5269630251600873,0.29376846547101415,0.9999609297304268,-301.06072289341125,47.09659690773878,42.27703019528462,0.006390587843081118,0.03014783942740056,0.17490046289550853,0.03710615552224232,0.4897486083043586,-65.45221972186802,33.16987283311344,156.4801274240628
244,0.09999999999999432,0.004363489820889052,0.00585160681052081,0.4271608951277061,0.03886288411841465,0.9963362202014556,-100.87238419816501,170.89323195845367,229.17436296350797,0.00524190231825402,0.0051008763574326875,0.5068176050770983,0.03875817278710376,0.9975037319985008,-95.48862250508319,196.04474406498025,190.77043776982882,0.0026199719358032743,0.005113442388812032,0.3387859263487222,0.03890552798420795,0.999999,-82.8862929627748,195.56297381739398,381.6834777252694
250,0.09999999999999432,0.002885374148194536,0.004458231212759865,0.39290975023466435,0.030559351903462713,0.9890271034880672,-96.38588415815909,224.3042032315212,346.57550412508186,0.0028903569057004645,0.0048886903889470475,0.37155666963089645,0.030521806738983758,0.9879478188250904,-95.73751710136398,204.55375989056762,345.9780340717662,0.0028375206870272654,0.002681123539327983,0.5141698885889745,0.030632174686691827,0.999999,-62.941009547934996,372.9779643987041,352.4203381395087
256,0.09999999999999432,0.003323219816424881,0.004793737974887993,0.4094169147930691,0.0751028485024507,0.995417108691654,-124.21469283138521,208.6054776540775,300.91298657330464,0.0066942018826007315,0.005826096691103551,0.5346679109282751,0.07392547807045084,0.997352864871368,-123.45507171212137,171.64150425567084,149.38300600093268,0.0004303514230313886,0.10389232856817808,0.004125195241031492,0.03400997462596791,0.24241570064610174,-52.03957763450371,9.625349761448096,2323.6823360685457
262,0.09999999999999432,0.0033760049030664052,0.004703256703737965,0.41786057530593235,0.08170665213326088,0.999999,-109.3160352173719,212.61863066186436,296.2081006137479,0.003277506307212236,0.0027437708169096705,0.5443207877083386,0.08168920946974732,0.999999,-103.58323830033848,364.4619272998564,305.11001544054227,1e-06,0.10862661038753554,9.205762664137043e-06,0.04169777499312469,0.6335612471402666,-58.33260251194889,9.20584741098343,1000000.0
